Día,Horarios,Cupos,Nombre
Jueves,16:30,5,
Jueves,16:30,6,
Jueves,16:30,7,
Jueves,16:30,8,
Jueves,16:30,9,
Jueves,17:30,1,
Jueves,17:30,2,
Jueves,17:30,3,
Jueves,17:30,4,
Jueves,17:30,5,
Jueves,17:30,6,
Jueves,17:30,7,
Jueves,17:30,8,
Jueves,17:30,9,
Jueves,18:30,1,
Jueves,18:30,2,
Jueves,18:30,3,
Jueves,18:30,4,
Jueves,18:30,5,
Jueves,18:30,6,
Jueves,18:30,7,
Jueves,18:30,8,
Jueves,18:30,9,
Jueves,19:30,1,
Jueves,19:30,2,
Jueves,19:30,3,
Jueves,19:30,4,
Jueves,19:30,5,
Jueves,19:30,6,
Jueves,19:30,7,
Jueves,19:30,8,
Jueves,19:30,9,
Jueves,20:30,1,
Jueves,20:30,2,
Jueves,20:30,3,
Jueves,20:30,4,
Jueves,20:30,5,
Jueves,20:30,6,
Jueves,20:30,7,
Jueves,20:30,8,
Jueves,20:30,9,
Viernes,8:00,1,
Viernes,8:00,2,
Viernes,8:00,3,
Viernes,8:00,4,
Viernes,8:00,5,
Viernes,8:00,6,
Viernes,8:00,7,
Viernes,8:00,8,
Viernes,8:00,9,
Viernes,9:00,1,
Viernes,9:00,2,
Viernes,9:00,3,
Viernes,9:00,4,
Viernes,9:00,5,
Viernes,9:00,6,
Viernes,9:00,7,
Viernes,9:00,8,
Viernes,9:00,9,
Viernes,10:00,1,
Viernes,10:00,2,
Viernes,10:00,3,
Viernes,10:00,4,
Viernes,10:00,5,
Viernes,10:00,6,
Viernes,10:00,7,
Viernes,10:00,8,
Viernes,10:00,9,
Viernes,16:30,1,
Viernes,16:30,2,
Viernes,16:30,3,
Viernes,16:30,4,
Viernes,16:30,5,
Viernes,16:30,6,
Viernes,16:30,7,
Viernes,16:30,8,
Viernes,16:30,9,
Viernes,17:30,1,
Viernes,17:30,2,
Viernes,17:30,3,
Viernes,17:30,4,
Viernes,17:30,5,
Viernes,17:30,6,
Viernes,17:30,7,
Viernes,17:30,8,
Viernes,17:30,9,
Viernes,18:30,1,
Viernes,18:30,2,
Viernes,18:30,3,
Viernes,18:30,4,
Viernes,18:30,5,
Viernes,18:30,6,
Viernes,18:30,7,
Viernes,18:30,8,
Viernes,18:30,9,
Viernes,19:30,1,
Viernes,19:30,2,
Viernes,19:30,3,
Viernes,19:30,4,
Viernes,19:30,5,
Viernes,19:30,6,
Viernes,19:30,7,
Viernes,19:30,8,
Viernes,19:30,9,
Viernes,20:30,1,
Viernes,20:30,2,
Viernes,20:30,3,
Viernes,20:30,4,
Viernes,20:30,5,
Viernes,20:30,6,
Viernes,20:30,7,
Viernes,20:30,8,
Viernes,20:30,9,
Sábado,10:00,1,
Sábado,10:00,2,
Sábado,10:00,3,
Sábado,10:00,4,
Sábado,10:00,5,
Sábado,10:00,6,
Sábado,10:00,7,
Sábado,10:00,8,
Sábado,10:00,9,
Sábado,11:00,1,
Sábado,11:00,2,
Sábado,11:00,3,
Sábado,11:00,4,
Sábado,11:00,5,
Sábado,11:00,6,
Sábado,11:00,7,
Sábado,11:00,8,
Sábado,11:00,9,
